income,committed_crime
59934.283060224654,0
47234.713976576306,0
62953.77076201385,0
80460.5971281605,0
45316.93250553328,0
45317.26086101639,0
81584.25631014783,0
65348.694583058175,0
40610.51228130096,0
60851.200871719295,0
40731.64614375075,0
40685.404928594864,0
54839.24543132068,0
11734.395106844044,0
15501.643349739345,0
38754.249415180544,0
29743.377593311525,0
56284.94665190548,0
31839.51848957578,0
21753.925973294172,0
79312.97537843109,0
45484.47399026929,0
51350.564093758476,0
21505.036275730865,0
39112.34550949634,0
52218.451794197324,0
26980.128451553945,0
57513.96036691344,0
37987.2262016239,0
44166.12500413446,0
37965.867755412066,0
87045.56369017877,0
49730.05550524132,0
28845.781420881995,0
66450.89824206378,0
25583.127000579556,0
54177.27190009511,0
10806.597522404489,0
23436.27902203139,0
53937.22471738247,0
64769.33159990821,0
53427.36562379941,0
47687.03435223519,0
43977.926088214226,0
20429.560192651454,0
35603.115832105825,0
40787.22458080425,0
71142.44452437831,0
56872.36579136923,0
14739.19689274532,0
56481.6793878959,0
42298.35439167367,0
36461.55999388083,0
62233.52577681736,0
70619.99044991902,0
68625.60238232397,0
33215.64953554723,0
43815.75248297571,0
56625.26862807128,0
69510.90254244718,0
40416.5152430942,0
46286.82046672366,0
27873.300519879434,0
26075.867518386585,0
66250.51644788396,0
77124.80057141646,0
48559.797568393325,0
70070.65795784048,0
57232.72050095268,0
37097.60490789751,0
57227.912110168276,0
80760.73132931939,0
49283.47921780097,0
81292.87311628013,0
0.0,0
66438.05008750448,0
51740.94136476342,0
44019.85299068265,0
51835.21553071005,0
10248.621707982144,0
45606.56224324976,0
57142.25143023493,0
79557.88089483032,1
39634.59563452705,0
33830.12794213625,0
39964.85912830927,0
68308.04235404148,0
56575.02219319369,0
39404.79592465922,0
60265.34866226712,0
51941.55098696081,0
69372.89981065778,0
35958.93812245295,0
43446.75706804464,0
42157.83693735685,0
20729.701037357627,0
55922.40554129152,0
55221.105443597786,0
50102.269132849215,0
45308.25733249706,0
21692.585158991715,0
41587.09354469282,0
43145.70966946461,0
33954.45461556762,0
46774.285766679815,0
58081.01713629077,0
87723.7180242106,0
53491.55625663678,0
55151.00781445529,0
48511.081684676654,0
11624.575694019171,0
49469.722491015666,0
51204.604198820525,0
99264.84224970572,0
46152.78070437755,0
56030.94684667225,0
49305.764605895136,0
26626.43924760936,0
72856.45629030041,1
65038.66065373548,0
65820.63894086094,0
31812.25090410522,0
78055.88621872198,0
21962.97874415438,0
61737.14187600541,0
